A. Moll's Abfuehrdragees;Arzneispezialitaet;A. Moll's Abfuehrdragees;5-02282;Apotheke Zum weissen Storch, Tuchlauben 9, 1010 Wien, Oesterreich;35836;Bisacodyl, Dimeticon;A06AB;0;0;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Apothekeneigene;Human;;;;;;;;;;;1
Abacavir/Lamivudin ratiopharm 600 mg/300 mg Filmtabletten;Arzneispezialitaet;Abacavir/Lamivudin ratiopharm 600 mg/300 mg Filmtabletten;136981;Teva B.V., Swensweg 5, 2031 GA Haarlem, Niederlande;42551;Lamivudin, Abacavir;J05AR02;0;0;;;;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
Abacavir/Lamivudin STADA 600 mg/300 mg Filmtabletten;Arzneispezialitaet;Abacavir/Lamivudin STADA 600 mg/300 mg Filmtabletten;136866;STADA Arzneimittel GmbH, Muthgasse 36/2, 1190 Wien, Oesterreich;42472;Lamivudin, Abacavir;J05AR02;0;0;;;;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
ABASAGLAR 100 Einheiten/ml Injektionsloesung in einem Fertigpen;Arzneispezialitaet;ABASAGLAR 100 Einheiten/ml Injektionsloesung in einem Fertigpen;EU/1/14/944/005-008,010-013;Eli Lilly Regional Operations GmbH, Koelblgasse 8-10, 1030 Wien, Oesterreich;41891;Insulin Glargin;A10AE04;0;0;0;;;Arzneimittel zur wiederholten Abgabe gegen aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Biologika;Human;;;;;;;;;;;0
ABC Lokale Schmerz-Therapie Waerme-Creme 750 Mikrogramm/g Creme;Arzneispezialitaet;ABC Lokale Schmerz-Therapie Waerme-Creme 750 Mikrogramm/g Creme;1-26384;Beiersdorf AG, Unnastrasse 48, 20245 Hamburg, Deutschland;38835;Capsaicin;M02AB;0;0;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Abfuehrtee Hegathek;Arzneispezialitaet;Abfuehrtee Hegathek;5-02254;Apotheke Zum Heiligen Geist, Operngasse 16, 1010 Wien, Oesterreich;35767;Foeniculi Fructus, Tiliae Flos, Weinsaeure, Guaiaci Lignum, Sennae Folium, Ononidis Radix, Kaliumnatriumtartrat;A06AB;0;0;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Apothekeneigene;Human;;;;;;;;;;;0
Abies canadensis-DHU Dilution;Arzneispezialitaet;Abies canadensis-DHU Dilution;HOM-4891;Deutsche Homoeopathie-Union, DHU-Arzneimittel GmbH & Co KG, Otto-Strasse 24, 76227 Karlsruhe, Deutschland;38915;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;1
Abies nigra Dos. - Dilution;Arzneispezialitaet;Abies nigra Dos. - Dilution;HOM-0924;Mag. Martin Doskar, pharm. Produkte e.U., Schottenring 14, 1010 Wien, Oesterreich;35310;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;0
Abilify Maintena 300 mg Fertigspritze mit Pulver und Loesungsmittel zur Herstellung einer Depot-Injektionssuspension;Arzneispezialitaet;Abilify Maintena 300 mg Fertigspritze mit Pulver und Loesungsmittel zur Herstellung einer Depot-Injektionssuspension;EU/1/13/882/005,007;Otsuka Pharmaceutical Europe Ltd., Gallions, Wexham Springs, Framewood Road -, SL3 6PJ Wexham, Vereinigtes Koenigreich;41593;Aripiprazol;N05AX12;0;0;;;;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Abilify Maintena 400 mg Fertigspritze mit Pulver und Loesungsmittel zur Herstellung einer Depot-Injektionssuspension;Arzneispezialitaet;Abilify Maintena 400 mg Fertigspritze mit Pulver und Loesungsmittel zur Herstellung einer Depot-Injektionssuspension;EU/1/13/882/006,008;Otsuka Pharmaceutical Europe Ltd., Gallions, Wexham Springs, Framewood Road -, SL3 6PJ Wexham, Vereinigtes Koenigreich;41593;Aripiprazol;N05AX12;0;0;;;;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
ABILIFY 1 mg/ml Loesung zum Einnehmen;Arzneispezialitaet;ABILIFY 1 mg/ml Loesung zum Einnehmen;EU/1/04/276/033-035;Otsuka Pharmaceutical Europe Ltd., Gallions, Wexham Springs, Framewood Road -, SL3 6PJ Wexham, Vereinigtes Koenigreich;38653;Aripiprazol;N05AX12;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
ABILIFY 10 mg Tabletten;Arzneispezialitaet;ABILIFY 10 mg Tabletten;EU/1/04/276/006-010;Otsuka Pharmaceutical Europe Ltd., Gallions, Wexham Springs, Framewood Road -, SL3 6PJ Wexham, Vereinigtes Koenigreich;38142;Aripiprazol;N05AX12;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
ABILIFY 15 mg Tabletten;Arzneispezialitaet;ABILIFY 15 mg Tabletten;EU/1/04/276/011-015;Otsuka Pharmaceutical Europe Ltd., Gallions, Wexham Springs, Framewood Road -, SL3 6PJ Wexham, Vereinigtes Koenigreich;38142;Aripiprazol;N05AX12;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
ABILIFY 30 mg Tabletten;Arzneispezialitaet;ABILIFY 30 mg Tabletten;EU/1/04/276/016-020;Otsuka Pharmaceutical Europe Ltd., Gallions, Wexham Springs, Framewood Road -, SL3 6PJ Wexham, Vereinigtes Koenigreich;38142;Aripiprazol;N05AX12;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;0
ABILIFY 7,5 mg/ml Injektionsloesung;Arzneispezialitaet;ABILIFY 7,5 mg/ml Injektionsloesung;EU/1/04/276/036;Otsuka Pharmaceutical Europe Ltd., Gallions, Wexham Springs, Framewood Road -, SL3 6PJ Wexham, Vereinigtes Koenigreich;38994;Aripiprazol;N05AX12;0;0;0;;0;Arzneimittel zur einmaligen Abgabe auf aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Standardarzneimittel;Human;;;;;;;;;;;1
Abrotanum Dos. - Globuli;Arzneispezialitaet;Abrotanum Dos. - Globuli;HOM-0649;Mag. Martin Doskar, pharm. Produkte e.U., Schottenring 14, 1010 Wien, Oesterreich;35284;;;;;0;;0;Arzneimittel zur Abgabe ohne aerztliche Verschreibung;Abgabe durch eine (oeffentliche) Apotheke;Homoeopathika;Human;;;;;;;;;;;0
